115r	-118.4905, 34.0125	-118.214, 34.0551
53	-118.214, 34.0551	-117.71, 34.0818
35	-117.7099, 34.082	-117.0649, 34.0039
0	-117.0652, 34.0039	-114.5308, 33.6046
8r	-114.5308, 33.6046	-113.335, 33.566
4r	-113.3351, 33.5665	-111.9087, 33.2047
12	-111.9087, 33.2047	-111.2664, 32.5016
14	-111.2669, 32.5016	-110.4513, 31.9632
6	-110.4513, 31.9632	-109.0484, 32.2273
51	-109.0484, 32.2275	-108.5369, 32.2707
108r	-108.5369, 32.2704	-108.2298, 32.2069
16	-108.2298, 32.2072	-107.2984, 32.243
24	-107.2984, 32.243	-106.5826, 32.0007
18	-106.5829, 32.0007	-105.9723, 31.4083
10r	-105.9721, 31.4085	-104.9089, 31.0424
27	-104.9089, 31.0424	-104.1806, 31.063
148	-104.1811, 31.0627	-104.0692, 31.0834
31r	-104.0701, 31.084	-103.4086, 30.9524
2r	-103.4089, 30.952	-101.8095, 30.7176
22	-101.8095, 30.7176	-100.9607, 30.6637
20	-100.9607, 30.664	-100.1166, 30.4688
33r	-100.1166, 30.4686	-99.5228, 30.2886
119	-99.5228, 30.2886	-99.3014, 30.183
154	-99.3014, 30.1833	-99.2293, 30.1349
94r	-99.2298, 30.1349	-98.9206, 29.9868
82	-98.9206, 29.9871	-98.6873, 29.7388
86r	-98.6875, 29.7387	-98.516, 29.459
169r	-98.5158, 29.4601	-98.5037, 29.4362
101	-98.5011, 29.4258	-98.1863, 29.5012
39	-98.1863, 29.5012	-97.6335, 29.6494
156	-97.633, 29.6494	-97.5565, 29.6536
87r	-97.5569, 29.6534	-97.1948, 29.692
78r	-97.1952, 29.6923	-96.8193, 29.6888
49	-96.8196, 29.6886	-96.2966, 29.7483
117	-96.2967, 29.7485	-96.0361, 29.7712
136	-96.0361, 29.7712	-95.8546, 29.7774
165	-95.855, 29.7773	-95.8125, 29.7806
138r	-95.8126, 29.7807	-95.6412, 29.7851
26r	-95.6412, 29.7851	-94.9098, 29.8212
41	-94.9098, 29.8212	-94.3575, 29.8583
76	-94.3575, 29.8581	-94.0911, 30.0946
74r	-94.0911, 30.0946	-93.7014, 30.1273
29	-93.7014, 30.1275	-92.9969, 30.2507
80r	-92.9969, 30.2507	-92.6225, 30.2404
61	-92.6225, 30.2402	-92.1762, 30.2475
127	-92.1762, 30.2475	-91.9499, 30.281
102	-91.95, 30.2812	-91.6448, 30.3636
121	-91.6448, 30.3636	-91.4083, 30.4268
131r	-91.4083, 30.4268	-91.1959, 30.4395
129	-91.1959, 30.4395	-91.0138, 30.3302
99r	-91.0141, 30.33	-90.7596, 30.1436
149r	-90.7596, 30.1436	-90.6498, 30.1204
123r	-90.6498, 30.1207	-90.4101, 30.0796
142r	-90.4102, 30.0794	-90.2795, 30.0064
140	-90.2795, 30.0068	-90.1233, 29.9962
84	-90.1234, 29.9958	-89.8247, 30.1814
125	-89.8251, 30.1816	-89.6416, 30.3034
106r	-89.6416, 30.3034	-89.3409, 30.3839
56	-89.3409, 30.3835	-88.8834, 30.4538
54r	-88.8834, 30.4538	-88.4005, 30.4742
58	-88.4005, 30.4745	-88.007, 30.687
37r	-88.007, 30.687	-87.4122, 30.5738
113	-87.4124, 30.5736	-87.1431, 30.5195
72	-87.1433, 30.5197	-86.7924, 30.6851
70	-86.7924, 30.6851	-86.3916, 30.7297
64r	-86.3916, 30.7287	-85.9581, 30.7037
144r	-85.9589, 30.7037	-85.8299, 30.7557
152	-85.8299, 30.7557	-85.7353, 30.7606
146r	-85.7353, 30.7606	-85.6186, 30.7557
134r	-85.6187, 30.7554	-85.4326, 30.7465
43r	-85.4326, 30.7465	-84.9043, 30.6334
47r	-84.9043, 30.6337	-84.3975, 30.4853
92	-84.3975, 30.4853	-84.0412, 30.484
104	-84.0412, 30.484	-83.7244, 30.4455
45r	-83.7244, 30.4455	-83.1936, 30.3581
66r	-83.1936, 30.3581	-82.7947, 30.2743
97r	-82.7947, 30.2743	-82.4575, 30.2572
68	-82.4575, 30.2567	-82.0496, 30.2814
90	-82.0375, 30.2835	-81.6798, 30.3252
